GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Workers 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Workers 16 years and over
HC02_EST_VC01,Male; Estimate; Workers 16 years and over
HC02_MOE_VC01,Male; Margin of Error; Workers 16 years and over
HC03_EST_VC01,Female; Estimate; Workers 16 years and over
HC03_MOE_VC01,Female; Margin of Error; Workers 16 years and over
HC01_EST_VC03,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC01_MOE_VC03,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC02_EST_VC03,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC02_MOE_VC03,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC03_EST_VC03,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC03_MOE_VC03,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC01_EST_VC04,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC01_MOE_VC04,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC02_EST_VC04,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC02_MOE_VC04,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC03_EST_VC04,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC03_MOE_VC04,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC01_EST_VC05,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC01_MOE_VC05,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC02_EST_VC05,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC02_MOE_VC05,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC03_EST_VC05,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC03_MOE_VC05,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC01_EST_VC06,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC01_MOE_VC06,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC02_EST_VC06,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC02_MOE_VC06,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC03_EST_VC06,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC03_MOE_VC06,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC01_EST_VC07,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC01_MOE_VC07,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC02_EST_VC07,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC02_MOE_VC07,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC03_EST_VC07,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC03_MOE_VC07,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC01_EST_VC08,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC01_MOE_VC08,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC02_EST_VC08,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC02_MOE_VC08,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC03_EST_VC08,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC03_MOE_VC08,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC01_EST_VC09,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC01_MOE_VC09,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC02_EST_VC09,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC02_MOE_VC09,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC03_EST_VC09,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC03_MOE_VC09,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC01_EST_VC10,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC01_MOE_VC10,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC02_EST_VC10,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC02_MOE_VC10,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC03_EST_VC10,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC03_MOE_VC10,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC01_EST_VC11,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked
HC01_MOE_VC11,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked
HC02_EST_VC11,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked
HC02_MOE_VC11,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked
HC03_EST_VC11,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked
HC03_MOE_VC11,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked
HC01_EST_VC12,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC01_MOE_VC12,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC02_EST_VC12,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC02_MOE_VC12,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC03_EST_VC12,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC03_MOE_VC12,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC01_EST_VC13,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC01_MOE_VC13,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC02_EST_VC13,"Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC02_MOE_VC13,"Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC03_EST_VC13,"Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC03_MOE_VC13,"Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC01_EST_VC14,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC01_MOE_VC14,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC02_EST_VC14,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC02_MOE_VC14,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC03_EST_VC14,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC03_MOE_VC14,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC01_EST_VC17,Total; Estimate; PLACE OF WORK - Worked in state of residence
HC01_MOE_VC17,Total; Margin of Error; PLACE OF WORK - Worked in state of residence
HC02_EST_VC17,Male; Estimate; PLACE OF WORK - Worked in state of residence
HC02_MOE_VC17,Male; Margin of Error; PLACE OF WORK - Worked in state of residence
HC03_EST_VC17,Female; Estimate; PLACE OF WORK - Worked in state of residence
HC03_MOE_VC17,Female; Margin of Error; PLACE OF WORK - Worked in state of residence
HC01_EST_VC18,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence
HC01_MOE_VC18,Total; Margin of Error; PLACE OF WORK - Worked in state of residence - Worked in county of residence
HC02_EST_VC18,Male; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence
HC02_MOE_VC18,Male; Margin of Error; PLACE OF WORK - Worked in state of residence - Worked in county of residence
HC03_EST_VC18,Female; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence
HC03_MOE_VC18,Female; Margin of Error; PLACE OF WORK - Worked in state of residence - Worked in county of residence
HC01_EST_VC19,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence
HC01_MOE_VC19,Total; Margin of Error; PLACE OF WORK - Worked in state of residence - Worked outside county of residence
HC02_EST_VC19,Male; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence
HC02_MOE_VC19,Male; Margin of Error; PLACE OF WORK - Worked in state of residence - Worked outside county of residence
HC03_EST_VC19,Female; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence
HC03_MOE_VC19,Female; Margin of Error; PLACE OF WORK - Worked in state of residence - Worked outside county of residence
HC01_EST_VC20,Total; Estimate; PLACE OF WORK - Worked outside state of residence
HC01_MOE_VC20,Total; Margin of Error; PLACE OF WORK - Worked outside state of residence
HC02_EST_VC20,Male; Estimate; PLACE OF WORK - Worked outside state of residence
HC02_MOE_VC20,Male; Margin of Error; PLACE OF WORK - Worked outside state of residence
HC03_EST_VC20,Female; Estimate; PLACE OF WORK - Worked outside state of residence
HC03_MOE_VC20,Female; Margin of Error; PLACE OF WORK - Worked outside state of residence
HC01_EST_VC22,Total; Estimate; Living in a place
HC01_MOE_VC22,Total; Margin of Error; Living in a place
HC02_EST_VC22,Male; Estimate; Living in a place
HC02_MOE_VC22,Male; Margin of Error; Living in a place
HC03_EST_VC22,Female; Estimate; Living in a place
HC03_MOE_VC22,Female; Margin of Error; Living in a place
HC01_EST_VC23,Total; Estimate; Living in a place - Worked in place of residence
HC01_MOE_VC23,Total; Margin of Error; Living in a place - Worked in place of residence
HC02_EST_VC23,Male; Estimate; Living in a place - Worked in place of residence
HC02_MOE_VC23,Male; Margin of Error; Living in a place - Worked in place of residence
HC03_EST_VC23,Female; Estimate; Living in a place - Worked in place of residence
HC03_MOE_VC23,Female; Margin of Error; Living in a place - Worked in place of residence
HC01_EST_VC24,Total; Estimate; Living in a place - Worked outside place of residence
HC01_MOE_VC24,Total; Margin of Error; Living in a place - Worked outside place of residence
HC02_EST_VC24,Male; Estimate; Living in a place - Worked outside place of residence
HC02_MOE_VC24,Male; Margin of Error; Living in a place - Worked outside place of residence
HC03_EST_VC24,Female; Estimate; Living in a place - Worked outside place of residence
HC03_MOE_VC24,Female; Margin of Error; Living in a place - Worked outside place of residence
HC01_EST_VC25,Total; Estimate; Not living in a place
HC01_MOE_VC25,Total; Margin of Error; Not living in a place
HC02_EST_VC25,Male; Estimate; Not living in a place
HC02_MOE_VC25,Male; Margin of Error; Not living in a place
HC03_EST_VC25,Female; Estimate; Not living in a place
HC03_MOE_VC25,Female; Margin of Error; Not living in a place
HC01_EST_VC27,Total; Estimate; Living in 12 selected states
HC01_MOE_VC27,Total; Margin of Error; Living in 12 selected states
HC02_EST_VC27,Male; Estimate; Living in 12 selected states
